127.0.0.1 - - [12/Sep/2018:11:15:47 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:15:52 +0530] "GET /acitivity-portal/ HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:15:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:13 +0530] "GET /acitivity-portal/ HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:15 +0530] "GET /acitivity-portal/ HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:20 +0530] "GET /acitivity-portal/ HTTP/1.1" 200 10637
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:20 +0530] "GET /acitivity-portal/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/froala_style.css HTTP/1.1" 200 8582
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/code_view.css HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/emoticons.css HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/draggable.css HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/colors.css HTTP/1.1" 200 3874
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/froala_editor.css HTTP/1.1" 200 33201
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/image_manager.css HTTP/1.1" 200 8311
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/line_breaker.css HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/char_counter.css HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/table.css HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/video.css HTTP/1.1" 200 5095
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/image.css HTTP/1.1" 200 4938
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/fullscreen.css HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/file.css HTTP/1.1" 200 3009
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/css/plugins/quick_insert.css HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/js/plugins/align.min.js HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [12/Sep/2018:11:16:21 +0530] "GET /acitivity-portal/resources/js/plugins/code_view.min.js HTTP/1.1" 200 5418
