127.0.0.1 - - [10/Sep/2018:14:48:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:34 +0530] "GET /acitivity-portal/ HTTP/1.1" 200 7728
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/froala_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/froala_editor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/code_view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/draggable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/emoticons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/colors.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/image_manager.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/video.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/line_breaker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/image.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/char_counter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/fullscreen.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/file.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/css/plugins/quick_insert.css HTTP/1.1" 304 -
